
2024/08/19 (10:34:36) | ===> btop++ v.1.3.2
2024/08/19 (10:34:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/23 (11:25:20) | ===> btop++ v.1.3.2
2024/08/23 (11:25:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/23 (11:31:28) | ===> btop++ v.1.3.2
2024/08/23 (11:31:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/23 (11:31:56) | ===> btop++ v.1.3.2
2024/08/23 (11:31:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/24 (14:21:11) | ===> btop++ v.1.3.2
2024/08/24 (14:21:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/08/24 (14:22:20) | ===> btop++ v.1.3.2
2024/08/24 (14:22:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
